#                  BLOCK:   ACTUAL_KE:          KE_AVE:             ERROR:
                 308               1.121             1.16341           0.0279768
                 309             1.12369             1.16328           0.0278866
                 310             1.12638             1.16316           0.0277969
                 311             1.12907             1.16305           0.0277077
                 312             1.13175             1.16295           0.0276191
                 313             1.13443             1.16286            0.027531
                 314             1.13709             1.16278           0.0274434
                 315             1.13974              1.1627           0.0273564
                 316             1.14238             1.16264           0.0272699
                 317             1.14501             1.16258            0.027184
                 318             1.14762             1.16254           0.0270985
                 319             1.15022              1.1625           0.0270136
                 320              1.1528             1.16247           0.0269292
                 321             1.15535             1.16244           0.0268453
                 322             1.15789             1.16243           0.0267619
                 323              1.1604             1.16242           0.0266791
                 324             1.16289             1.16242           0.0265967
                 325             1.16536             1.16243           0.0265149
                 326             1.16779             1.16245           0.0264336
                 327              1.1702             1.16247           0.0263528
                 328             1.17258              1.1625           0.0262724
                 329             1.17492             1.16254           0.0261926
                 330             1.17724             1.16259           0.0261133
                 331             1.17951             1.16264           0.0260344
                 332             1.18175              1.1627           0.0259561
                 333             1.18396             1.16276           0.0258782
                 334             1.18612             1.16283           0.0258008
                 335             1.18825             1.16291           0.0257239
                 336             1.19033             1.16299           0.0256475
                 337             1.19237             1.16307           0.0255715
                 338             1.19437             1.16317            0.025496
                 339             1.19633             1.16326            0.025421
                 340             1.19824             1.16337           0.0253465
                 341              1.2001             1.16348           0.0252724
                 342             1.20192             1.16359           0.0251987
                 343             1.20369              1.1637           0.0251255
                 344             1.20541             1.16383           0.0250528
                 345             1.20708             1.16395           0.0249805
                 346              1.2087             1.16408           0.0249086
                 347             1.21026             1.16421           0.0248372
                 348             1.21178             1.16435           0.0247662
                 349             1.21324             1.16449           0.0246956
                 350             1.21466             1.16463           0.0246255
                 351             1.21601             1.16478           0.0245557
                 352             1.21732             1.16493           0.0244864
                 353             1.21857             1.16508           0.0244175
                 354             1.21976             1.16524           0.0243491
                 355             1.22091             1.16539            0.024281
                 356             1.22199             1.16555           0.0242133
                 357             1.22302             1.16571            0.024146
