           beta           mean          sigma           E           errE
        29.2216       0.634197       0.704144      -0.354005     0.00182737
        29.3677       0.630317       0.702046      -0.357833     0.00178279
        29.5145       0.634673       0.711227      -0.352653     0.00204887
        29.6621       0.630098       0.704361      -0.352424     0.00168183
        29.8104       0.637162       0.708987       -0.35351     0.00181853
        29.9594       0.630891       0.710258      -0.346691     0.00203266
        30.1092        0.62435       0.712486      -0.345849     0.00198189
        30.2598       0.624181       0.704291      -0.345453     0.00164954
        30.4111       0.623861       0.698346      -0.348317     0.00174887
        30.5631       0.627936       0.696248      -0.350946     0.00208095
        30.7159       0.631292       0.702583      -0.349671     0.00205913
        30.8695       0.624436       0.700756      -0.347133     0.00192783
        31.0239       0.622461       0.701641      -0.346486     0.00187392
         31.179       0.624063       0.696263       -0.34822      0.0018713
        31.3349       0.628042       0.686843      -0.353422     0.00188973
        31.4916       0.619896       0.695987      -0.341761     0.00168277
         31.649       0.610974       0.697609      -0.333467     0.00202826
        31.8073       0.604242       0.690407      -0.332534     0.00171803
        31.9663       0.607651       0.685207      -0.334892     0.00177228
        32.1261       0.607829       0.691134      -0.334019     0.00202887
        32.2868       0.612439       0.697367      -0.341164     0.00199943
        32.4482       0.603754         0.7052      -0.331205     0.00198873
        32.6104        0.60463       0.700307      -0.336603     0.00208158
        32.7735       0.602205       0.701274      -0.330705     0.00194545
        32.9374       0.607741       0.699066      -0.332109      0.0020473
         33.102       0.607201       0.705233      -0.332323     0.00206561
        33.2676       0.615595       0.701585      -0.340813     0.00181282
        33.4339       0.611862       0.708594      -0.338078     0.00191938
        33.6011       0.602922       0.700541      -0.334157     0.00216389
        33.7691        0.60697       0.706581      -0.334666     0.00204107
        33.9379       0.604102       0.701967      -0.326776     0.00188923
        34.1076       0.605179       0.705053      -0.331806     0.00211168
        34.2781       0.611067        0.71002      -0.337467      0.0020393
        34.4495       0.610404       0.702631      -0.334744     0.00204771
        34.6218       0.605225       0.697205      -0.333797     0.00187191
        34.7949        0.60718       0.689548      -0.333821     0.00189973
        34.9689       0.604759       0.689711      -0.330277     0.00217204
        35.1437       0.598501        0.68289      -0.325925     0.00181047
        35.3194       0.595737       0.677671      -0.325102     0.00190133
        35.6735       0.595798       0.680207      -0.325831     0.00204055
        35.8519       0.604787       0.683012       -0.33359      0.0018632
        36.2113       0.606728       0.681327      -0.333978     0.00191543
        36.3923       0.615511       0.687262      -0.339458     0.00209893
        36.5743       0.608946       0.683294      -0.336115     0.00201445
        36.7572       0.608569       0.688685      -0.335643     0.00175545
         36.941       0.612522       0.690446      -0.336707     0.00199934
        37.1257       0.619226       0.689801      -0.342486     0.00181992
        37.4978       0.616099       0.686805      -0.343662     0.00162651
        37.6853       0.618697       0.682206      -0.343697     0.00188206
        37.8738       0.624636       0.684916      -0.349953     0.00171789
        38.2535       0.625969       0.685747      -0.349106     0.00200386
        38.6369       0.625296       0.687488      -0.346762     0.00143394
        38.8301       0.634717       0.683798      -0.355844     0.00193636
        39.0243       0.644227       0.677962      -0.361569     0.00186466
        39.2194       0.639311        0.67045      -0.362129     0.00159039
        39.6126       0.635907        0.67144      -0.360349     0.00174923
        39.8106       0.642214       0.675707      -0.364077     0.00157236
        40.0097       0.645907       0.666238      -0.366225      0.0018407
        40.2097       0.637116       0.660908      -0.359957     0.00164163
        40.6128        0.63961       0.661796      -0.359822     0.00179055
        40.8159       0.638999        0.66932      -0.360578     0.00189974
          41.02       0.635008       0.678054      -0.354565     0.00170402
        41.2251       0.642191        0.68304      -0.361687      0.0016089
        41.4312       0.638836       0.691112      -0.359377     0.00186069
        41.6384       0.644285        0.69281      -0.365084     0.00189895
        41.8466       0.652011       0.699639      -0.364074     0.00200983
        42.0558       0.659337       0.698649      -0.368494     0.00211657
        42.2661       0.656591       0.698135      -0.364829     0.00202528
        42.4774       0.655793       0.699229      -0.366937     0.00196269
        42.6898       0.656253       0.691072       -0.37105     0.00153901
        42.9032       0.657248       0.684111      -0.374453     0.00185707
        43.1178       0.650898        0.67562      -0.371362     0.00174717
        43.3333       0.647596       0.669175      -0.367692     0.00155574
