           beta           mean          sigma           E           errE
            302       0.826505       0.608835      -0.441338     0.00137213
            303       0.816649       0.616054      -0.444336     0.00117034
            304       0.807552       0.617478      -0.443278     0.00114563
            305       0.814848       0.627337      -0.443444     0.00124195
            307       0.817621       0.631146      -0.442269     0.00143013
            309       0.816223       0.630164      -0.441105     0.00137481
            310       0.816502       0.621783      -0.445961     0.00131763
            313       0.819094       0.621373      -0.442981     0.00120964
            314       0.823074       0.615613       -0.44045     0.00113386
            315        0.82151       0.617405      -0.442085     0.00129924
            316       0.811813       0.608974      -0.444198     0.00134485
            317        0.81285       0.607097      -0.443814      0.0011732
            318       0.803109       0.609618      -0.444992     0.00115726
            319       0.802457       0.615945      -0.442558     0.00121576
            320       0.799936       0.621876      -0.445304     0.00117107
            321       0.796307       0.614808      -0.442092     0.00135191
            322       0.801491       0.618955       -0.44407     0.00132789
            323       0.801518       0.624635        -0.4444     0.00116205
            324       0.797998       0.622237      -0.442996     0.00107593
            325       0.794082       0.620459      -0.442505     0.00113209
            326       0.785743       0.627145      -0.442985     0.00111782
            327       0.790687       0.633684      -0.441423     0.00116675
            329       0.791362       0.635837       -0.44231     0.00132905
            330       0.798023       0.636679      -0.443196     0.00141497
            331        0.79156       0.639202      -0.441349      0.0012629
            333        0.79438       0.640916      -0.440337     0.00132503
            334       0.802093       0.647911      -0.440627       0.001472
            338       0.799911       0.646339      -0.437366     0.00133375
            339       0.800058       0.639646      -0.439474     0.00129011
            341       0.798566       0.641454        -0.4414     0.00145591
            342       0.800976        0.63652      -0.440273     0.00139554
            343       0.804126       0.631152       -0.44194       0.001222
            344       0.801364       0.639771      -0.443484     0.00128209
            347        0.80458       0.636771      -0.442627     0.00128128
            348       0.799815       0.636231      -0.441638     0.00120992
            350       0.796006       0.631901      -0.444337     0.00134641
            352       0.798347       0.634667      -0.441883     0.00113755
            354       0.797919       0.634606      -0.442249     0.00133894
            356       0.798118       0.636505      -0.442115     0.00125619
            357        0.80229       0.626561      -0.444004       0.001312
            358       0.803352       0.617668      -0.444237     0.00134241
            359       0.795282       0.621258       -0.44511     0.00107849
            360       0.803619       0.630989      -0.444553     0.00119335
            361       0.802559       0.632863      -0.442112     0.00144805
            362       0.808039       0.630764       -0.44158     0.00120221
            363       0.800068       0.626561      -0.443625     0.00129508
            365       0.802833       0.628628      -0.443888     0.00111905
            366       0.804032       0.621288      -0.443419     0.00120577
            367        0.80865       0.618001      -0.445404     0.00121653
            369       0.807439       0.618358      -0.444739     0.00119271
            371       0.810674       0.622699      -0.446003     0.00102833
            373       0.812487       0.620456      -0.441654     0.00115179
            374       0.804884       0.626553      -0.442394     0.00149558
            375        0.80027       0.632387      -0.443875     0.00133262
            379       0.801475       0.634225      -0.443476     0.00108278
            380       0.798753       0.633601      -0.444652     0.00130569
            381       0.801086       0.623758      -0.443612     0.00124733
            382       0.800146       0.617735      -0.444062     0.00117475
            383       0.800102       0.621367       -0.44562     0.00117166
            387        0.79949       0.623133      -0.446163     0.00119878
            389       0.800857       0.627619      -0.443226     0.00123755
            390       0.804791       0.627628      -0.443063     0.00137622
            391       0.794906       0.620127      -0.444485     0.00116362
            393       0.798471        0.62268      -0.444044     0.00131467
            394       0.795896       0.626764      -0.444135     0.00103327
            395       0.793749       0.620626      -0.443738     0.00115485
            396       0.788253       0.611406      -0.442683     0.00101915
            397       0.788443       0.601706      -0.442015     0.00114857
            398       0.781415       0.598587      -0.439039      0.0012109
            399       0.781533        0.59889      -0.438639     0.00102654
            400       0.791405       0.597402      -0.442972     0.00115928
            402       0.789639       0.601114       -0.44282     0.00112169
            403       0.788998       0.605198      -0.444277     0.00114254
            404       0.789301       0.602302      -0.445382     0.00120695
            407       0.791472       0.605616      -0.444025     0.00117264
            408       0.799796       0.597331      -0.444561     0.00131522
            418       0.800013       0.597946      -0.443218     0.00111105
            421       0.802828       0.598544      -0.442847     0.00143352
            422       0.810385       0.607171       -0.44508     0.00126269
            423       0.808079       0.610254      -0.443699     0.00122439
            424       0.809569       0.619716      -0.446591     0.00117105
            430       0.810288       0.619613      -0.445601     0.00123234
            431       0.808826        0.61398      -0.442098     0.00138004
            432       0.816077       0.613051      -0.442646     0.00133499
            433       0.816687       0.619792      -0.442686     0.00117684
            435        0.81669       0.621598      -0.444767     0.00120258
            438       0.813923       0.621033      -0.444413     0.00132995
            439       0.814774       0.615343      -0.444221     0.00124783
            441       0.812685       0.613897      -0.444065     0.00110266
            442       0.815579       0.605242       -0.44316     0.00122108
            443       0.805741       0.607977      -0.443866     0.00124788
            447       0.803691       0.605859      -0.443522     0.00125146
            448       0.794234       0.612086      -0.443117     0.00129006
            449       0.789462       0.614064      -0.443503     0.00104918
            450       0.796438       0.606175      -0.443069     0.00115838
            451       0.804243       0.609957      -0.445644     0.00097213
            453        0.80076       0.613696      -0.443666     0.00119527
            454       0.794349       0.620318      -0.444235     0.00116845
            455       0.789475       0.627033      -0.443473     0.00131624
