#                  BLOCK:   ACTUAL_PE:     PE_AVE:      ERROR:
                 253             -7.5251            -7.53714          0.00539995
                 254            -7.46194            -7.53684           0.0053868
                 255            -7.48689            -7.53665          0.00536924
                 256            -7.51141            -7.53655          0.00534917
                 257            -7.42604            -7.53612          0.00534561
                 258            -7.51163            -7.53602          0.00532573
                 259            -7.46573            -7.53575          0.00531208
                 260            -7.45492            -7.53544          0.00530074
                 261            -7.47659            -7.53522          0.00528522
                 262            -7.42667             -7.5348          0.00528126
                 263            -7.48482            -7.53461           0.0052646
                 264            -7.45378            -7.53431          0.00525356
                 265            -7.49053            -7.53414          0.00523633
                 266            -7.51673            -7.53408          0.00521705
                 267            -7.57316            -7.53422          0.00519956
                 268            -7.59791            -7.53446          0.00518559
                 269            -7.67926              -7.535          0.00519418
                 270              -7.685            -7.53555          0.00520457
                 271            -7.73306            -7.53628          0.00523614
                 272            -7.69948            -7.53688          0.00525115
                 273            -7.68873            -7.53744          0.00526129
                 274            -7.67197            -7.53793          0.00526495
                 275            -7.71073            -7.53856          0.00528317
                 276            -7.65681            -7.53899          0.00528137
                 277            -7.61685            -7.53927          0.00526978
                 278              -7.615            -7.53954          0.00525786
                 279            -7.66725               -7.54           0.0052589
                 280            -7.66283            -7.54044          0.00525839
                 281            -7.64686            -7.54081          0.00525329
                 282            -7.59329              -7.541          0.00523796
                 283            -7.56449            -7.54108          0.00522011
                 284             -7.5676            -7.54118          0.00520256
                 285            -7.55767            -7.54124          0.00518463
                 286            -7.56406            -7.54132          0.00516712
                 287            -7.59056            -7.54149          0.00515196
                 288            -7.61895            -7.54176          0.00514109
                 289            -7.65991            -7.54216          0.00513953
                 290             -7.6513            -7.54254          0.00513557
                 291            -7.62208            -7.54281          0.00512519
                 292            -7.64495            -7.54316          0.00511956
                 293            -7.61173             -7.5434          0.00510743
                 294            -7.56458            -7.54347          0.00509057
                 295            -7.58571            -7.54361          0.00507532
                 296            -7.55815            -7.54366          0.00505841
                 297            -7.61349             -7.5439          0.00504684
                 298            -7.64549            -7.54424          0.00504141
                 299            -7.75957            -7.54496          0.00507573
                 300            -7.72759            -7.54557          0.00509518
                 301            -7.70519             -7.5461          0.00510578
                 302            -7.67312            -7.54652          0.00510617
                 303            -7.66941            -7.54692           0.0051054
                 304            -7.67354            -7.54734          0.00510556
                 305             -7.6303            -7.54761          0.00509606
                 306            -7.63556             -7.5479          0.00508751
                 307            -7.59742            -7.54806          0.00507349
                 308             -7.5678            -7.54813          0.00505743
                 309            -7.55221            -7.54814          0.00504108
                 310             -7.5918            -7.54828          0.00502678
                 311            -7.56349            -7.54833          0.00501086
                 312              -7.521            -7.54824          0.00499556
                 313            -7.53362            -7.54819          0.00497982
                 314            -7.47385            -7.54796          0.00496959
