#                  BLOCK:   ACTUAL_TE:          TE_AVE:             ERROR:
                 152       -6.399533e+00       -6.346688e+00        6.876344e-03
                 153       -6.315616e+00       -6.346485e+00        6.834399e-03
                 154       -6.379956e+00       -6.346702e+00        6.793474e-03
                 155       -6.373588e+00       -6.346876e+00        6.751859e-03
                 156       -6.348365e+00       -6.346885e+00        6.708585e-03
                 157       -6.375446e+00       -6.347067e+00        6.668321e-03
                 158       -6.421107e+00       -6.347536e+00        6.642562e-03
                 159       -6.397480e+00       -6.347850e+00        6.608207e-03
                 160       -6.398088e+00       -6.348164e+00        6.574361e-03
                 161       -6.313280e+00       -6.347947e+00        6.537096e-03
                 162       -6.327150e+00       -6.347819e+00        6.498004e-03
                 163       -6.304183e+00       -6.347551e+00        6.463651e-03
                 164       -6.275261e+00       -6.347110e+00        6.439251e-03
                 165       -6.410601e+00       -6.347495e+00        6.411712e-03
                 166       -6.394844e+00       -6.347780e+00        6.379429e-03
                 167       -6.370494e+00       -6.347917e+00        6.342678e-03
                 168       -6.406178e+00       -6.348263e+00        6.314398e-03
                 169       -6.304424e+00       -6.348004e+00        6.282361e-03
                 170       -6.328832e+00       -6.347891e+00        6.246418e-03
                 171       -6.421925e+00       -6.348324e+00        6.224875e-03
                 172       -6.368966e+00       -6.348444e+00        6.189840e-03
                 173       -6.367165e+00       -6.348552e+00        6.155007e-03
                 174       -6.458741e+00       -6.349186e+00        6.152125e-03
                 175       -6.400871e+00       -6.349481e+00        6.124055e-03
                 176       -6.413571e+00       -6.349845e+00        6.100076e-03
                 177       -6.409536e+00       -6.350182e+00        6.074927e-03
                 178       -6.392917e+00       -6.350422e+00        6.045541e-03
                 179       -6.398094e+00       -6.350689e+00        6.017630e-03
                 180       -6.345861e+00       -6.350662e+00        5.984258e-03
                 181       -6.356598e+00       -6.350695e+00        5.951286e-03
                 182       -6.271985e+00       -6.350262e+00        5.934279e-03
                 183       -6.261926e+00       -6.349779e+00        5.921452e-03
                 184       -6.271163e+00       -6.349352e+00        5.904664e-03
                 185       -6.280726e+00       -6.348981e+00        5.884388e-03
                 186       -6.269695e+00       -6.348555e+00        5.868171e-03
                 187       -6.235726e+00       -6.347952e+00        5.867727e-03
                 188       -6.225792e+00       -6.347302e+00        5.872384e-03
                 189       -6.283561e+00       -6.346965e+00        5.850989e-03
                 190       -6.295701e+00       -6.346695e+00        5.826412e-03
                 191       -6.288668e+00       -6.346391e+00        5.803823e-03
                 192       -6.268840e+00       -6.345987e+00        5.787632e-03
                 193       -6.339466e+00       -6.345953e+00        5.757743e-03
                 194       -6.286318e+00       -6.345646e+00        5.736264e-03
                 195       -6.274704e+00       -6.345282e+00        5.718372e-03
                 196       -6.204355e+00       -6.344563e+00        5.734223e-03
                 197       -6.236052e+00       -6.344012e+00        5.731509e-03
                 198       -6.247407e+00       -6.343524e+00        5.723291e-03
                 199       -6.329785e+00       -6.343455e+00        5.694947e-03
                 200       -6.325016e+00       -6.343363e+00        5.667219e-03
                 201       -6.261442e+00       -6.342956e+00        5.653660e-03
                 202       -6.284512e+00       -6.342666e+00        5.633070e-03
