#                  BLOCK:   ACTUAL_P:           P_AVE:              ERROR:
                 226        7.390943e+00        7.773433e+00        3.016373e-02
                 227        7.629224e+00        7.772798e+00        3.003753e-02
                 228        7.482729e+00        7.771526e+00        2.993272e-02
                 229        7.427063e+00        7.770022e+00        2.983978e-02
                 230        7.660896e+00        7.769547e+00        2.971382e-02
                 231        7.898748e+00        7.770106e+00        2.959045e-02
                 232        7.740632e+00        7.769979e+00        2.946318e-02
                 233        7.401121e+00        7.768396e+00        2.937922e-02
                 234        7.233503e+00        7.766110e+00        2.934246e-02
                 235        8.070511e+00        7.767406e+00        2.924618e-02
                 236        8.056693e+00        7.768632e+00        2.914793e-02
                 237        8.087017e+00        7.769975e+00        2.905589e-02
                 238        8.127227e+00        7.771476e+00        2.897255e-02
                 239        8.908278e+00        7.776233e+00        2.923916e-02
                 240        8.875720e+00        7.780814e+00        2.947404e-02
                 241        9.028349e+00        7.785990e+00        2.980284e-02
                 242        8.717857e+00        7.789841e+00        2.992742e-02
                 243        9.035701e+00        7.794968e+00        3.024024e-02
                 244        8.883131e+00        7.799428e+00        3.044337e-02
                 245        8.864317e+00        7.803774e+00        3.062782e-02
                 246        8.427087e+00        7.806308e+00        3.060795e-02
                 247        8.216523e+00        7.807969e+00        3.052905e-02
                 248        8.219115e+00        7.809627e+00        3.045093e-02
                 249        8.626625e+00        7.812908e+00        3.050490e-02
                 250        8.404889e+00        7.815276e+00        3.047465e-02
                 251        7.914453e+00        7.815671e+00        3.035580e-02
                 252        8.072354e+00        7.816689e+00        3.025242e-02
                 253        7.855860e+00        7.816844e+00        3.013324e-02
                 254        8.205237e+00        7.818373e+00        3.005338e-02
                 255        8.077659e+00        7.819390e+00        2.995272e-02
                 256        7.966105e+00        7.819963e+00        2.984120e-02
                 257        8.419207e+00        7.822295e+00        2.981604e-02
                 258        7.945474e+00        7.822772e+00        2.970430e-02
                 259        8.222759e+00        7.824317e+00        2.962973e-02
                 260        8.321924e+00        7.826230e+00        2.957751e-02
                 261        8.148346e+00        7.827465e+00        2.948993e-02
                 262        8.429985e+00        7.829764e+00        2.946690e-02
                 263        8.126560e+00        7.830893e+00        2.937646e-02
                 264        8.284974e+00        7.832613e+00        2.931550e-02
                 265        8.058199e+00        7.833464e+00        2.921723e-02
                 266        7.907699e+00        7.833743e+00        2.910872e-02
                 267        7.595158e+00        7.832850e+00        2.901341e-02
                 268        7.466193e+00        7.831481e+00        2.893739e-02
                 269        7.007605e+00        7.828419e+00        2.899145e-02
                 270        6.968308e+00        7.825233e+00        2.905856e-02
                 271        6.718805e+00        7.821150e+00        2.923674e-02
                 272        6.923084e+00        7.817849e+00        2.931510e-02
                 273        6.973427e+00        7.814756e+00        2.937044e-02
                 274        7.066470e+00        7.812025e+00        2.938994e-02
                 275        6.863748e+00        7.808576e+00        2.948467e-02
                 276        7.129629e+00        7.806116e+00        2.948028e-02
                 277        7.379392e+00        7.804576e+00        2.941408e-02
                 278        7.370775e+00        7.803015e+00        2.934963e-02
                 279        7.115740e+00        7.800552e+00        2.934763e-02
                 280        7.152661e+00        7.798238e+00        2.933389e-02
                 281        7.213150e+00        7.796156e+00        2.930331e-02
                 282        7.517080e+00        7.795166e+00        2.921610e-02
                 283        7.683733e+00        7.794773e+00        2.911552e-02
                 284        7.628284e+00        7.794186e+00        2.901890e-02
                 285        7.713833e+00        7.793904e+00        2.891845e-02
