#                  BLOCK:   ACTUAL_P:           P_AVE:              ERROR:
                 162        4.428045e-02        4.430733e-02        9.170621e-07
                 163        4.427998e-02        4.430717e-02        9.266620e-07
                 164        4.427951e-02        4.430700e-02        9.362318e-07
                 165        4.427880e-02        4.430683e-02        9.460305e-07
                 166        4.427832e-02        4.430665e-02        9.557938e-07
                 167        4.427760e-02        4.430648e-02        9.657774e-07
                 168        4.427687e-02        4.430630e-02        9.759735e-07
                 169        4.427639e-02        4.430613e-02        9.861229e-07
                 170        4.427589e-02        4.430595e-02        9.962284e-07
                 171        4.427540e-02        4.430577e-02        1.006293e-06
                 172        4.427490e-02        4.430559e-02        1.016319e-06
                 173        4.427440e-02        4.430541e-02        1.026310e-06
                 174        4.427390e-02        4.430523e-02        1.036267e-06
                 175        4.427339e-02        4.430505e-02        1.046194e-06
                 176        4.427288e-02        4.430486e-02        1.056092e-06
                 177        4.427237e-02        4.430468e-02        1.065963e-06
                 178        4.427185e-02        4.430450e-02        1.075809e-06
                 179        4.427110e-02        4.430431e-02        1.085859e-06
                 180        4.427058e-02        4.430412e-02        1.095880e-06
                 181        4.427005e-02        4.430393e-02        1.105874e-06
                 182        4.426929e-02        4.430374e-02        1.116065e-06
                 183        4.426828e-02        4.430355e-02        1.126665e-06
                 184        4.426751e-02        4.430335e-02        1.137442e-06
                 185        4.426697e-02        4.430316e-02        1.148172e-06
                 186        4.426619e-02        4.430296e-02        1.159072e-06
                 187        4.426565e-02        4.430276e-02        1.169923e-06
                 188        4.426510e-02        4.430256e-02        1.180726e-06
                 189        4.426455e-02        4.430236e-02        1.191484e-06
                 190        4.426399e-02        4.430216e-02        1.202200e-06
                 191        4.426296e-02        4.430195e-02        1.213292e-06
                 192        4.426217e-02        4.430174e-02        1.224540e-06
                 193        4.426136e-02        4.430153e-02        1.235940e-06
                 194        4.426056e-02        4.430132e-02        1.247485e-06
                 195        4.425999e-02        4.430111e-02        1.258968e-06
                 196        4.425918e-02        4.430090e-02        1.270593e-06
                 197        4.425860e-02        4.430068e-02        1.282155e-06
                 198        4.425802e-02        4.430047e-02        1.293656e-06
                 199        4.425744e-02        4.430025e-02        1.305101e-06
                 200        4.425661e-02        4.430003e-02        1.316687e-06
                 201        4.425603e-02        4.429981e-02        1.328215e-06
                 202        4.425520e-02        4.429959e-02        1.339880e-06
                 203        4.425460e-02        4.429937e-02        1.351488e-06
                 204        4.425400e-02        4.429915e-02        1.363040e-06
                 205        4.425316e-02        4.429892e-02        1.374728e-06
                 206        4.425256e-02        4.429870e-02        1.386361e-06
                 207        4.425171e-02        4.429847e-02        1.398125e-06
                 208        4.425110e-02        4.429824e-02        1.409834e-06
                 209        4.425048e-02        4.429802e-02        1.421490e-06
                 210        4.424963e-02        4.429779e-02        1.433276e-06
                 211        4.424900e-02        4.429755e-02        1.445009e-06
                 212        4.424838e-02        4.429732e-02        1.456692e-06
                 213        4.424751e-02        4.429709e-02        1.468502e-06
                 214        4.424665e-02        4.429685e-02        1.480437e-06
                 215        4.424601e-02        4.429662e-02        1.492318e-06
