#                  BLOCK:   ACTUAL_PE:     PE_AVE:      ERROR:
                 199          -0.0327542          -0.0321318         1.92061e-05
                 200          -0.0327655          -0.0321349         1.93697e-05
                 201          -0.0327744          -0.0321381         1.95328e-05
                 202          -0.0327857          -0.0321413         1.96974e-05
                 203          -0.0327947          -0.0321445         1.98617e-05
                 204          -0.0328038          -0.0321478         2.00255e-05
                 205          -0.0328153           -0.032151         2.01908e-05
                 206          -0.0328245          -0.0321543         2.03557e-05
                 207          -0.0328361          -0.0321576         2.05221e-05
                 208          -0.0328453          -0.0321609         2.06881e-05
                 209          -0.0328546          -0.0321642         2.08537e-05
                 210          -0.0328664          -0.0321676         2.10207e-05
                 211          -0.0328758          -0.0321709         2.11873e-05
                 212          -0.0328852          -0.0321743         2.13536e-05
                 213          -0.0328971          -0.0321777         2.15213e-05
                 214           -0.032909          -0.0321811         2.16904e-05
                 215          -0.0329187          -0.0321845         2.18591e-05
                 216          -0.0329283           -0.032188         2.20275e-05
                 217          -0.0329428          -0.0321915         2.21989e-05
                 218          -0.0329549           -0.032195         2.23716e-05
                 219          -0.0329671          -0.0321985         2.25455e-05
                 220          -0.0329769           -0.032202          2.2719e-05
                 221          -0.0329868          -0.0322056         2.28921e-05
                 222          -0.0329968          -0.0322091         2.30647e-05
                 223          -0.0330068          -0.0322127          2.3237e-05
                 224          -0.0330169          -0.0322163          2.3409e-05
                 225           -0.033027          -0.0322199         2.35806e-05
                 226          -0.0330419          -0.0322235          2.3755e-05
                 227          -0.0330568          -0.0322272         2.39323e-05
                 228          -0.0330671          -0.0322309         2.41092e-05
                 229          -0.0330797          -0.0322346         2.42872e-05
                 230          -0.0330925          -0.0322383         2.44663e-05
                 231          -0.0331029          -0.0322421          2.4645e-05
                 232          -0.0331157          -0.0322458         2.48248e-05
                 233          -0.0331286          -0.0322496         2.50057e-05
                 234          -0.0331416          -0.0322534         2.51877e-05
                 235          -0.0331569          -0.0322573         2.53722e-05
                 236          -0.0331771          -0.0322612         2.55623e-05
                 237          -0.0331902          -0.0322651         2.57532e-05
                 238           -0.033201           -0.032269         2.59435e-05
                 239          -0.0332142           -0.032273         2.61346e-05
                 240          -0.0332275           -0.032277         2.63266e-05
                 241          -0.0332408           -0.032281         2.65193e-05
                 242          -0.0332541           -0.032285         2.67129e-05
                 243          -0.0332699           -0.032289         2.69087e-05
                 244          -0.0332834          -0.0322931         2.71053e-05
                 245          -0.0332969          -0.0322972         2.73026e-05
                 246          -0.0333105          -0.0323013         2.75005e-05
                 247          -0.0333218          -0.0323055         2.76978e-05
                 248          -0.0333331          -0.0323096         2.78943e-05
                 249          -0.0333492          -0.0323138          2.8093e-05
                 250          -0.0333606           -0.032318          2.8291e-05
                 251          -0.0333792          -0.0323222         2.84924e-05
                 252          -0.0333907          -0.0323264         2.86932e-05
                 253          -0.0334047          -0.0323307         2.88945e-05
                 254          -0.0334163           -0.032335         2.90951e-05
                 255           -0.033428          -0.0323393         2.92951e-05
                 256          -0.0334397          -0.0323436         2.94943e-05
                 257          -0.0334539          -0.0323479         2.96943e-05
                 258          -0.0334728          -0.0323522         2.98976e-05
                 259          -0.0334847          -0.0323566         3.01002e-05
                 260          -0.0334967           -0.032361         3.03022e-05
                 261           -0.033511          -0.0323654         3.05047e-05
                 262          -0.0335231          -0.0323698         3.07067e-05
                 263          -0.0335352          -0.0323743         3.09079e-05
                 264          -0.0335521          -0.0323787         3.11112e-05
                 265          -0.0335643          -0.0323832         3.13138e-05
                 266          -0.0335813          -0.0323877         3.15184e-05
                 267          -0.0335984          -0.0323922         3.17248e-05
                 268          -0.0336131          -0.0323968         3.19318e-05
                 269          -0.0336279          -0.0324014         3.21394e-05
                 270          -0.0336428           -0.032406         3.23476e-05
                 271          -0.0336577          -0.0324106         3.25563e-05
                 272          -0.0336702          -0.0324152         3.27643e-05
                 273          -0.0336829          -0.0324199         3.29717e-05
                 274           -0.033698          -0.0324245         3.31797e-05
                 275          -0.0337107          -0.0324292         3.33871e-05
                 276          -0.0337259          -0.0324339          3.3595e-05
                 277          -0.0337387          -0.0324386         3.38024e-05
                 278           -0.033754          -0.0324433         3.40104e-05
                 279          -0.0337741          -0.0324481         3.42213e-05
                 280          -0.0337871          -0.0324529         3.44316e-05
                 281          -0.0338002          -0.0324577         3.46413e-05
                 282          -0.0338228          -0.0324625          3.4855e-05
                 283          -0.0338384          -0.0324674         3.50693e-05
                 284           -0.033854          -0.0324723          3.5284e-05
                 285          -0.0338673          -0.0324772         3.54981e-05
                 286          -0.0338854          -0.0324821         3.57138e-05
                 287          -0.0338988           -0.032487         3.59289e-05
                 288          -0.0339122           -0.032492         3.61433e-05
                 289          -0.0339281          -0.0324969         3.63583e-05
                 290          -0.0339417          -0.0325019         3.65726e-05
                 291          -0.0339553          -0.0325069         3.67864e-05
                 292           -0.033969          -0.0325119         3.69996e-05
                 293          -0.0339827          -0.0325169         3.72123e-05
                 294          -0.0339989           -0.032522         3.74256e-05
                 295          -0.0340151           -0.032527         3.76394e-05
                 296          -0.0340314          -0.0325321         3.78538e-05
                 297          -0.0340453          -0.0325372         3.80677e-05
                 298          -0.0340593          -0.0325423         3.82811e-05
                 299          -0.0340781          -0.0325475         3.84961e-05
                 300          -0.0340923          -0.0325526         3.87106e-05
                 301          -0.0341064          -0.0325578         3.89247e-05
                 302          -0.0341207           -0.032563         3.91383e-05
                 303          -0.0341373          -0.0325681         3.93525e-05
                 304          -0.0341516          -0.0325734         3.95663e-05
                 305          -0.0341708          -0.0325786         3.97817e-05
                 306          -0.0341876          -0.0325839         3.99977e-05
                 307          -0.0342021          -0.0325891         4.02133e-05
                 308           -0.034219          -0.0325944         4.04294e-05
                 309           -0.034236          -0.0325997         4.06461e-05
                 310          -0.0342531          -0.0326051         4.08634e-05
                 311          -0.0342726          -0.0326104         4.10823e-05
